+-------+--------+----------------------------------+--------+--------+---------+--------+--------+
| COUNT | METHOD |               URI                |  MIN   |  MAX   |   SUM   |  AVG   |  P99   |
+-------+--------+----------------------------------+--------+--------+---------+--------+--------+
| 540   | GET    | /api/livestream/\d+/livecomment  | 0.008  | 1.636  | 159.692 | 0.296  | 1.240  |
| 33    | GET    | /api/livestream/search?limit=50  | 0.120  | 7.256  | 140.101 | 4.245  | 7.256  |
| 87    | POST   | /api/register                    | 0.004  | 2.748  | 109.822 | 1.262  | 2.748  |
| 9     | GET    | /api/user/.+/statistics          | 3.036  | 16.484 | 94.149  | 10.461 | 16.484 |
| 4160  | GET    | /api/user/.+/icon                | 0.004  | 0.552  | 82.757  | 0.020  | 0.168  |
| 9     | POST   | /api/livestream/\d+/moderate     | 0.636  | 9.168  | 57.270  | 6.363  | 9.168  |
| 546   | POST   | /api/livestream/\d+/livecomment  | 0.004  | 0.872  | 54.417  | 0.100  | 0.456  |
| 18    | GET    | /api/livestream/search\?tag=.*   | 0.332  | 7.760  | 53.825  | 2.990  | 7.760  |
| 358   | POST   | /api/livestream/reservation      | 0.004  | 0.516  | 50.305  | 0.141  | 0.480  |
| 573   | GET    | /api/livestream/\d+/reaction     | 0.004  | 0.968  | 45.625  | 0.080  | 0.424  |
| 507   | POST   | /api/livestream/\d+/reaction     | 0.008  | 0.456  | 37.373  | 0.074  | 0.340  |
| 1     | POST   | /api/initialize                  | 15.996 | 15.996 | 15.996  | 15.996 | 15.996 |
| 2     | GET    | /api/livestream/.+/statistics    | 6.620  | 7.372  | 13.992  | 6.996  | 7.372  |
| 341   | GET    | /api/tag                         | 0.004  | 0.188  | 5.368   | 0.016  | 0.136  |
| 1     | GET    | /api/user/satomigoto0/livestream | 2.464  | 2.464  | 2.464   | 2.464  | 2.464  |
| 2     | GET    | /api/user/atanaka0/livestream    | 1.004  | 1.220  | 2.224   | 1.112  | 1.220  |
| 112   | POST   | /api/icon                        | 0.004  | 0.196  | 2.004   | 0.018  | 0.156  |
| 1     | GET    | /api/user/endoyui0/livestream    | 2.000  | 2.000  | 2.000   | 2.000  | 2.000  |
| 22    | GET    | /api/livestream                  | 0.004  | 1.076  | 1.960   | 0.089  | 1.076  |
| 35    | GET    | /api/livestream/\d+/report       | 0.004  | 0.744  | 1.744   | 0.050  | 0.744  |
| 91    | POST   | /api/login                       | 0.004  | 0.232  | 1.528   | 0.017  | 0.232  |
| 50    | POST   | /api/livestream/\d+/enter        | 0.004  | 0.128  | 1.452   | 0.029  | 0.128  |
| 43    | DELETE | /api/livestream/\d+/exit         | 0.004  | 0.152  | 1.164   | 0.027  | 0.152  |
| 1     | GET    | /api/user/iyamamoto1/livestream  | 1.048  | 1.048  | 1.048   | 1.048  | 1.048  |
| 22    | GET    | /api/livestream/\d+/ngwords      | 0.004  | 0.128  | 0.484   | 0.022  | 0.128  |
| 8     | GET    | /api/user/.+/theme               | 0.004  | 0.016  | 0.080   | 0.010  | 0.016  |
| 1     | GET    | /api/payment                     | 0.020  | 0.020  | 0.020   | 0.020  | 0.020  |
| 3     | GET    | /api/user/me                     | 0.004  | 0.004  | 0.012   | 0.004  | 0.004  |
| 1     | GET    | /api/livestream/7497             | 0.012  | 0.012  | 0.012   | 0.012  | 0.012  |
| 1     | GET    | /api/user/test                   | 0.004  | 0.004  | 0.004   | 0.004  | 0.004  |
+-------+--------+----------------------------------+--------+--------+---------+--------+--------+
